Title,Author,Series,Status,ISBN,Rating,Owned,title,publish_date,publishers,pages,subjects,description,rating,author,Genre,Subgenre
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,,Read,9781492670124,4.25,Yes,The 7 Â½ Deaths of Evelyn Hardcastle,7-May-19,['Sourcebooks Landmark'],480,"['Fiction, suspense', 'Fiction, thrillers, general', 'Fiction, thrillers, suspense', 'Murder', 'Investigation', 'FICTION / Thrillers / Historical', 'FICTION / Occult & Supernatural', 'FICTION / Literary', 'Fiction', 'Fiction, mystery & detective, general', 'Crime, fiction']","***Gosford Park* meets *Groundhog Day* by way of Agatha Christie and *Black Mirror* â€“ the most inventive story you'll read**

Tonight, Evelyn Hardcastle will be killed ... Again

It is meant to be a celebration but it ends in tragedy. As fireworks explode overhead, Evelyn Hardcastle, the young and beautiful daughter of the house, is killed.

But Evelyn will not die just once. Until Aiden â€“ one of the guests summoned to Blackheath for the party â€“ can solve her murder, the day will repeat itself, over and over again. Every time ending with the fateful pistol shot.

The only way to break this cycle is to identify the killer. But each time the day begins again, Aiden wakes in the body of a different guest. And someone is determined to prevent him ever escaping Blackheath...

<a href=""https://www.bloomsbury.com/uk/the-seven-deaths-of-evelyn-hardcastle-9781408889572/"">SOURCE</a>",3.5,Stuart Turton,Mystery,Thriller
Project Hail Mary,Andy Weir,,Read,9780593135228,5,Yes,Project Hail Mary,4-Oct-22,['Ballantine Books'],496,"['hard science-fiction', 'science-fiction', 'sci-fi', 'hard sci-fi', 'nyt:hardcover-fiction=2021-05-23', 'New York Times bestseller', 'New York Times reviewed', 'Fiction, science fiction, action & adventure', 'Fiction, science fiction, hard science fiction', 'End of the world', 'Fiction', 'Astronauts', 'Space flight', 'Memory disorders', 'Survival', 'Fin du monde', 'Romans, nouvelles', 'Astronautes', 'Vol spatial', 'HabiletÃ©s de survie', 'FICTION / Science Fiction / Action & Adventure', 'FICTION / Science Fiction / Hard Science Fiction', 'FICTION / Thrillers / Suspense', 'Survival after airplane accidents, shipwrecks', 'nyt:trade-fiction-paperback=2022-11-13']","Ryland Grace is the sole survivor on a desperate, last-chance missionâ€“and if he fails, humanity and the earth itself will perish. Except that right now, he doesnâ€™t know that. He canâ€™t even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that heâ€™s been asleep for a very, very long time. And heâ€™s just been awakened to find himself millions of miles from home, with nothing but two corpses for company.

His crewmates dead, his memories fuzzily returning, he realizes that an impossible task now confronts him. Alone on this tiny ship thatâ€™s been cobbled together by every government and space agency on the planet and hurled into the depths of space, itâ€™s up to him to conquer an extinction-level threat to our species.

And thanks to an unexpected ally, he just might have a chance.

Part scientific mystery, part dazzling interstellar journey, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martianâ€“while taking us to places it never dreamed of going.",4.435897436,Andy Weir,Science Fiction,Space
The Paris Apartment,Lucy Foley,,Read,9780063003064,4.25,Yes,The Paris Apartment,21-Feb-23,['William Morrow Paperbacks'],384,"['nyt:combined-print-and-e-book-fiction=2022-03-13', 'New York Times bestseller', 'Fiction, thrillers, crime', 'Fiction, mystery & detective, private investigators', 'Paris (france), fiction', 'Fiction, mystery & detective, women sleuths', 'Fiction, noir', 'Fiction, mystery & detective, cozy, general', 'nyt:mass-market-monthly=2024-04-07']","Jess needs a fresh start. Sheâ€™s broke and alone, and sheâ€™s just left her job under less than ideal circumstances. Her half-brother Ben didnâ€™t sound thrilled when she asked if she could crash with him for a bit, but he didnâ€™t say no, and surely everything will look better from Paris. Only when she shows up â€“ to find a very nice apartment, could Ben really have afforded this? â€“ heâ€™s not there.

The longer Ben stays missing, the more Jess starts to dig into her brotherâ€™s situation, and the more questions she has. Benâ€™s neighbors are an eclectic bunch, and not particularly friendly. Jess may have come to Paris to escape her past, but itâ€™s starting to look like itâ€™s Benâ€™s future thatâ€™s in question.

The socialite â€“ The nice guy â€“ The alcoholic â€“ The girl on the verge â€“ The concierge

Everyoneâ€™s a neighbor. Everyoneâ€™s a suspect. And everyone knows something theyâ€™re not telling.",3.555555556,Lucy Foley,Mystery,Psychological Thriller
The House Across the Lake,Todd Ritter,,Read,9780593183212,3.75,Yes,House Across the Lake,2023,"['Penguin Publishing Group', 'Dutton']",384,"['nyt:combined-print-and-e-book-fiction=2022-07-10', 'New York Times bestseller']",,3.59,Riley Sager,Thriller,"Psychological Thriller, Supernatural"
Heartless,Marissa Meyer,,Read,9781250148186,4.25,Yes,Heartless,1-May-18,['Square Fish'],480,"['Love & Romance', 'Extraterrestrial beings', 'Fantasy & Magic', 'Fiction', 'Triangles (Interpersonal relations)', 'Bakers', 'Romance fiction', 'Characters and characteristics in literature', 'Characters in literature', 'Love', 'Juvenile fiction', 'Fantasy', 'Characters', 'Mothers and daughters', 'Courtship', 'Characters and characteristics', 'YOUNG ADULT FICTION / Romance / General', 'JUVENILE FICTION / Love & Romance', 'JUVENILE FICTION / Fantasy & Magic', 'YOUNG ADULT FICTION / Fantasy / General', 'YOUNG ADULT FICTION / Fairy Tales & Folklore / Adaptations', 'Schools', 'Baseball', 'Tutors and tutoring', 'Mental Depression', 'High schools', 'nyt:young-adult-e-book=2016-11-27', 'New York Times bestseller', ""Children's fiction"", 'Love, fiction', 'Fantasy fiction', 'A.R. 5.6', 'Reading Counts', 'Green', 'Young adult fiction, paranormal, occult & supernatural', 'Young adult fiction, romance, paranormal', 'Young adult fiction, fairy tales & folklore, general', 'Fiction, fantasy, general', 'Fiction, romance, general']","Long before she was the terror of Wonderlandâ€”the infamous Queen of Heartsâ€”she was just a girl who wanted to fall in love.

Long before she was the terror of Wonderland, she was just a girl who wanted to fall in love. Catherine may be one of the most desired girls in Wonderland, and a favorite of the unmarried King of Hearts, but her interests lie elsewhere. A talented baker, all she wants is to open a shop with her best friend. But according to her mother, such a goal is unthinkable for the young woman who could be the next queen.

Then Cath meets Jest, the handsome and mysterious court joker. For the first time, she feels the pull of true attraction. At the risk of offending the king and infuriating her parents, she and Jest enter into an intense, secret courtship. Cath is determined to define her own destiny and fall in love on her terms. But in a land thriving with magic, madness, and monsters, fate has other plans.

In her first stand-alone teen novel, the New York Times-bestselling author dazzles us with a prequel to Alice's Adventures in Wonderland.",4.166666667,Marissa Meyer,Fantasy,"Fairytale Retelling, Young Adult"
Ninth House,Leigh Bardugo,,Read,9781250751362,4,Yes,Ninth House,2020,['Flatiron Books'],480,"['Dark Fantasy', 'Fiction, thrillers, general', 'Fiction, occult & supernatural', 'Fiction, fantasy, paranormal', 'nyt:combined-print-and-e-book-fiction=2019-10-27', 'New York Times bestseller', 'New York Times reviewed', 'Fiction', 'Women college students', 'Secret societies', 'Magic', 'Yale University']","Galaxy â€œAlexâ€ Stern is the most unlikely member of Yaleâ€™s freshman class. Raised in the Los Angeles hinterlands by a hippie mom, Alex dropped out of school early and into a world of shady drug dealer boyfriends, dead-end jobs, and much, much worse. By age twenty, in fact, she is the sole survivor of a horrific, unsolved multiple homicide. Some might say sheâ€™s thrown her life away. But at her hospital bed, Alex is offered a second chance: to attend one of the worldâ€™s most elite universities on a full ride. Whatâ€™s the catch, and why her?

Still searching for answers to this herself, Alex arrives in New Haven tasked by her mysterious benefactors with monitoring the activities of Yaleâ€™s secret societies. These eight windowless â€œtombsâ€ are well-known to be haunts of the future rich and powerful, from high-ranking politicos to Wall Street and Hollywoodâ€™s biggest players. But their occult activities are revealed to be more sinister and more extraordinary than any paranoid imagination might conceive.",4.041666667,Leigh Bardugo,Fantasy,"Dark Academia, Urban Fantasy"
Black Cake,Charmaine Wilkerson,,Want to Read,9780593358337,,Yes,Black Cake,1-Feb-22,['Ballantine Books'],400,"['American literature', 'nyt:combined-print-and-e-book-fiction=2022-02-20', 'New York Times bestseller', 'Brothers and sisters', 'Fiction', 'Mothers', 'Death', 'Families', 'Family secrets', 'Caribbean Americans', 'FrÃ¨res et sÅ“urs', 'Romans, nouvelles', 'Familles', 'Secrets de famille', ""AmÃ©ricains d'origine antillaise"", 'FICTION / African American & Black / Historical', 'FICTION / Sagas', 'FICTION / Family Life / General', 'Siblings', 'Inheritance and succession', 'Cake']","Charmaine Wilkersonâ€™s debut novel is a story of how the inheritance of betrayals, secrets, memories, and even names can shape relationships and history. Deeply evocative and beautifully written, *Black Cake* is an extraordinary journey through the life of a family changed forever by the choices of its matriarch.",4.09,Charmaine Wilkerson,Literary Fiction,
First Lie Wins,Ashley Elston,,Read,9780593492918,3.75,Yes,First Lie Wins,2024,['Pamela Dorman Books'],384,"['nyt:combined-print-and-e-book-fiction=2024-01-21', 'New York Times bestseller', 'American literature']",,4,,Thriller,Psychological Thriller
Then She was Gone,Lisa Jewell,,Read,9781501154652,3,Yes,Then She Was Gone: A Novel,6-Nov-18,['Atria Books'],384,"['nyt:trade-fiction-paperback=2018-11-25', 'New York Times bestseller', 'Fiction, family life, general', 'Fiction, thrillers, suspense', 'Fathers and daughters, fiction', 'Fiction, psychological']",,4.04,Lisa Jewell,Mystery,Psychological Thriller
The Lake,Natasha Preston,,Read,9780593124970,3.5,Yes,The Lake,2-Mar-21,['Delacorte Press'],384,"['nyt:young-adult-paperback-monthly=2021-04-11', 'New York Times bestseller', ""Children's fiction""]","Esme and Kayla once were campers at Camp Pine Lake. Now theyâ€™re back as counselors-in-training. Esme loves the little girls in her cabin and thinks itâ€™s funny how scared they are of everythingâ€”the woods, the bugs, the boys...even swimming in the lake. It reminds her of how she and Kayla used to be. Before...

Because Esme and Kayla did something terrible when they were campers. Something theyâ€™ve kept a secret all these years. They vow that this summer will be awesome. Two months of sun, sâ€™mores, and flirting with the cute boy counselors. But then they get a message:
THE LAKE NEVER FORGETS.

The secret theyâ€™ve kept buried for so many years is about to resurface.",4,Natasha Preston,Horror,Young Adult
